year,week,product_id,quantity
2014,1,1,7
2014,1,2,18
2014,1,3,4
2014,1,4,15
2014,1,5,13
2014,1,6,4
2014,1,7,6
2014,1,8,5
2014,1,9,3
2014,1,10,1
2014,1,11,8
2014,1,12,5
2014,1,13,1
2014,1,14,6
2014,1,15,1
2014,1,17,11
2014,1,18,11
2014,1,19,3
2014,1,20,5
2014,1,21,5
2014,1,22,8
2014,1,24,7
2014,1,25,3
2014,1,26,3
2014,1,27,4
2014,1,29,1
2014,1,31,1
2014,1,32,2
2014,1,33,3
2014,1,34,1
2014,1,35,1
2014,1,36,1
2014,1,38,15
2014,1,40,1
2014,1,41,2
2014,1,44,7
2014,1,45,8
2014,1,48,1
2014,1,50,3
2014,1,51,5
2014,1,53,5
2014,1,55,1
2014,1,56,2
2014,1,57,1
2014,1,58,2
2014,1,59,3
2014,1,60,1
2014,1,61,1
2014,1,64,4
2014,1,65,2
2014,1,66,3
2014,1,68,1
2014,1,69,6
2014,1,70,6
2014,1,71,6
2014,1,73,4
2014,1,74,9
2014,1,75,6
2014,1,76,3
2014,1,77,1
2014,1,78,2
2014,1,80,3
2014,1,81,3
2014,1,83,6
2014,1,85,2
2014,1,86,1
2014,1,92,1
2014,1,94,1
2014,1,96,1
2014,1,98,1
2014,1,100,2
2014,1,103,3
2014,1,104,4
2014,1,107,1
2014,1,114,2
2014,1,115,5
2014,1,116,1
2014,1,118,1
2014,1,119,3
2014,1,121,2
2014,1,122,1
2014,1,123,1
2014,1,125,2
2014,1,131,2
2014,1,135,1
2014,1,136,3
2014,1,138,2
2014,1,154,2
2014,1,155,1
2014,1,156,1
2014,1,158,3
2014,1,160,1
2014,2,1,8
2014,2,2,23
2014,2,3,5
2014,2,4,13
2014,2,5,20
2014,2,6,2
2014,2,7,5
2014,2,8,5
2014,2,9,2
2014,2,10,1
2014,2,11,7
2014,2,12,3
2014,2,14,2
2014,2,15,2
2014,2,16,3
2014,2,17,8
2014,2,18,12
2014,2,19,3
2014,2,20,6
2014,2,21,3
2014,2,22,9
2014,2,24,7
2014,2,25,10
2014,2,26,3
2014,2,27,7
2014,2,28,2
2014,2,29,4
2014,2,30,1
2014,2,32,1
2014,2,35,4
2014,2,36,2
2014,2,37,1
2014,2,38,21
2014,2,39,1
2014,2,40,1
2014,2,41,4
2014,2,43,1
2014,2,44,6
2014,2,45,7
2014,2,47,2
2014,2,49,1
2014,2,50,3
2014,2,51,3
2014,2,52,1
2014,2,53,2
2014,2,54,2
2014,2,56,4
2014,2,57,1
2014,2,58,3
2014,2,59,2
2014,2,60,2
2014,2,61,1
2014,2,62,2
2014,2,63,1
2014,2,64,2
2014,2,65,4
2014,2,66,2
2014,2,68,1
2014,2,69,9
2014,2,70,3
2014,2,71,4
2014,2,72,1
2014,2,73,1
2014,2,74,4
2014,2,75,3
2014,2,76,5
2014,2,77,1
2014,2,78,2
2014,2,79,1
2014,2,80,5
2014,2,81,1
2014,2,82,1
2014,2,83,7
2014,2,85,3
2014,2,89,2
2014,2,91,3
2014,2,92,2
2014,2,96,3
2014,2,100,1
2014,2,103,1
2014,2,108,1
2014,2,112,1
2014,2,114,1
2014,2,115,6
2014,2,117,1
2014,2,119,4
2014,2,122,2
2014,2,123,1
2014,2,125,1
2014,2,128,2
2014,2,129,2
2014,2,136,5
2014,2,138,1
2014,2,142,1
2014,2,145,1
2014,2,152,1
